PariticipantID,SessionIndex,SessionStart,SessionEnd,PracticeStart,PracticeEnd,MainStart,MainEnd,QuestionStart,QuestionEnd,TrialStatus,TrialIndex,TrialStart,TrialVisualizationStart,TrialVisualizationEnd,TrialAnswerStart,TrialAnswerEnd,TrialFeedbackStart,TrialEnd,TrialAnswer,TrialIntAccuracy,TrialSolution,TrialDataset,FactorStereo,FactorMotion,FactorPerspective,FactorShading,Dim,Step,BinIndex,BinLower,BinUpper,File
P1,0,1552999651186,1553000268302,1552999651186,1552999968933,1552999973243,1553000268302,1553000280339,1553000461294,main,19,1553000199864,1553000200881,1553000203964,1553000204969,1553000207588,-999,1553000207639,83,79,0.7954,cifar10,yes,no,yes,shading-2,3,6.33333,1,73.5,79.8333,cifar10-e0032-f1-5k-l-2-tsne.txt
P1,0,1552999651186,1553000268302,1552999651186,1552999968933,1552999973243,1553000268302,1553000280339,1553000461294,main,20,1553000207639,1553000208656,1553000209765,1553000210766,1553000213062,-999,1553000213113,90,89,0.8978,cifar10,yes,no,yes,shading-1,3,6.33333,3,86.1667,92.5,cifar10-e0106-f1-5k-l-2-tsne.txt
P1,0,1552999651186,1553000268302,1552999651186,1552999968933,1552999973243,1553000268302,1553000280339,1553000461294,main,21,1553000213113,1553000214131,1553000215396,1553000216397,1553000221400,-999,1553000221451,82,71,0.7162,cifar10,yes,no,yes,shading-1,3,6.33333,0,38.5,73.5,cifar10-e0006-f1-5k-l-2-tsne.txt
P1,0,1552999651186,1553000268302,1552999651186,1552999968933,1552999973243,1553000268302,1553000280339,1553000461294,main,22,1553000221451,1553000222472,1553000226180,1553000227181,1553000230432,-999,1553000230483,76,79,0.7976,cifar10,yes,no,yes,shading-1,3,6.33333,1,73.5,79.8333,cifar10-e0034-f0-5k-l-2-tsne.txt
P1,0,1552999651186,1553000268302,1552999651186,1552999968933,1552999973243,1553000268302,1553000280339,1553000461294,main,23,1553000230483,1553000231501,1553000235508,1553000236510,1553000239907,-999,1553000239958,69,82,0.8276,cifar10,yes,no,yes,shading-1,3,6.33333,2,79.8333,86.1667,cifar10-e0073-f0-5k-l-2-tsne.txt
P1,0,1552999651186,1553000268302,1552999651186,1552999968933,1552999973243,1553000268302,1553000280339,1553000461294,main,24,1553000239958,1553000240975,1553000242850,1553000243852,1553000246836,-999,1553000246887,79,80,0.8098,cifar10,yes,no,no,no,2,6.33333,2,79.8333,86.1667,cifar10-e0038-f1-5k-l-2-tsne.txt
P1,0,1552999651186,1553000268302,1552999651186,1552999968933,1552999973243,1553000268302,1553000280339,1553000461294,main,25,1553000246887,1553000247905,1553000249092,1553000250093,1553000253046,-999,1553000253097,78,76,0.7686,cifar10,yes,no,no,no,2,6.33333,1,73.5,79.8333,cifar10-e0051-f0-5k-l-2-tsne.txt
P1,0,1552999651186,1553000268302,1552999651186,1552999968933,1552999973243,1553000268302,1553000280339,1553000461294,main,26,1553000253097,1553000254113,1553000256777,1553000257779,1553000261898,-999,1553000261949,62,69,0.6956,cifar10,yes,no,no,no,2,6.33333,0,38.5,73.5,cifar10-e0008-f1-5k-l-2-tsne.txt
P1,0,1552999651186,1553000268302,1552999651186,1552999968933,1552999973243,1553000268302,1553000280339,1553000461294,main,27,1553000261949,1553000262965,1553000264018,1553000265020,1553000268251,-999,1553000268302,83,89,0.8954,cifar10,yes,no,no,no,2,6.33333,3,86.1667,92.5,cifar10-e0083-f1-5k-l-2-tsne.txt
P1,1,1553000678136,1553001057835,1553000678136,1553000798500,1553000800220,1553001057835,1553001063057,1553001212566,practice,0,1553000688141,1553000689146,1553000715738,1553000716739,1553000731489,1553000731489,1553000734756,89,90,0.9038,cifar10,no,yes,yes,shading-1,3,6.33333,3,86.1667,92.5,cifar10-e0109-f1-5k-l-2-tsne.txt
P1,1,1553000678136,1553001057835,1553000678136,1553000798500,1553000800220,1553001057835,1553001063057,1553001212566,practice,1,1553000734756,1553000735757,1553000740958,1553000741959,1553000744833,1553000744833,1553000746372,75,85,0.8578,cifar10,no,yes,yes,shading-2,3,6.33333,2,79.8333,86.1667,cifar10-e0079-f1-5k-l-2-tsne.txt
P1,1,1553000678136,1553001057835,1553000678136,1553000798500,1553000800220,1553001057835,1553001063057,1553001212566,practice,2,1553000746372,1553000747373,1553000751483,1553000752484,1553000754976,1553000754976,1553000757612,85,90,0.902,cifar10,no,yes,yes,flat,3,6.33333,3,86.1667,92.5,cifar10-e0096-f0-5k-l-2-tsne.txt
P1,1,1553000678136,1553001057835,1553000678136,1553000798500,1553000800220,1553001057835,1553001063057,1553001212566,practice,3,1553000757612,1553000758613,1553000765594,1553000766595,1553000769905,1553000769905,1553000771843,79,79,0.7948,cifar10,no,yes,no,shading-1,3,6.33333,1,73.5,79.8333,cifar10-e0040-f1-5k-l-2-tsne.txt
P1,1,1553000678136,1553001057835,1553000678136,1553000798500,1553000800220,1553001057835,1553001063057,1553001212566,practice,4,1553000771843,1553000772844,1553000781691,1553000782692,1553000785608,1553000785608,1553000786675,80,83,0.834,cifar10,no,yes,no,flat,3,6.33333,2,79.8333,86.1667,cifar10-e0050-f0-5k-l-2-tsne.txt
P1,1,1553000678136,1553001057835,1553000678136,1553000798500,1553000800220,1553001057835,1553001063057,1553001212566,practice,5,1553000786675,1553000787677,1553000793228,1553000794229,1553000797288,1553000797288,1553000798500,71,70,0.7044,cifar10,no,yes,no,shading-2,3,6.33333,0,38.5,73.5,cifar10-e0008-f0-5k-l-2-tsne.txt
P1,1,1553000678136,1553001057835,1553000678136,1553000798500,1553000800220,1553001057835,1553001063057,1553001212566,main,0,1553000802699,1553000803700,1553000810268,1553000811269,1553000818024,-999,1553000818075,72,76,0.767,cifar10,no,yes,yes,shading-2,3,6.33333,1,73.5,79.8333,cifar10-e0012-f1-5k-l-2-tsne.txt
P1,1,1553000678136,1553001057835,1553000678136,1553000798500,1553000800220,1553001057835,1553001063057,1553001212566,main,1,1553000818075,1553000819076,1553000822518,1553000823519,1553000827897,-999,1553000827948,63,71,0.7162,cifar10,no,yes,yes,shading-2,3,6.33333,0,38.5,73.5,cifar10-e0006-f1-5k-l-2-tsne.txt
P1,1,1553000678136,1553001057835,1553000678136,1553000798500,1553000800220,1553001057835,1553001063057,1553001212566,main,2,1553000827948,1553000828949,1553000832300,1553000833301,1553000836905,-999,1553000836956,89,90,0.9046,cifar10,no,yes,yes,shading-2,3,6.33333,3,86.1667,92.5,cifar10-e0105-f1-5k-l-2-tsne.txt
P1,1,1553000678136,1553001057835,1553000678136,1553000798500,1553000800220,1553001057835,1553001063057,1553001212566,main,3,1553000836956,1553000837957,1553000841979,1553000842980,1553000845657,-999,1553000845708,77,81,0.8132,cifar10,no,yes,yes,shading-2,3,6.33333,2,79.8333,86.1667,cifar10-e0038-f0-5k-l-2-tsne.txt
